Freq.	Z11(v2)	Z12(v2)	Z21(v2)	Z22(v2)
2.00000000000000e+004	2.34672783921482e+003,-1.12789939771162e+003	8.89655176560406e-002,1.43450743963371e-001	-3.89518177278590e+004,-8.42194256098846e+003	1.99650634381535e+002,-1.10473834046688e+001
2.51785082358834e+004	2.24993852942372e+003,-9.42306140859528e+002	9.08698017352659e-002,1.83374265585303e-001	-3.97985064592519e+004,-6.31980986486279e+003	1.99595244662540e+002,-1.01829621362051e+001
3.16978638492223e+004	2.18565220762559e+003,-7.92539916167530e+002	9.44226254871526e-002,2.33043535862313e-001	-4.03349916234273e+004,-4.42569089220584e+003	1.99512430700244e+002,-9.85789285841135e+000
3.99052462993776e+004	2.14268072348265e+003,-6.77381292458836e+002	1.00398171537031e-001,2.94957229205215e-001	-4.06528784157688e+004,-2.70097702241661e+003	1.99384644605093e+002,-1.00531121439740e+001
5.02377286301916e+004	2.11288379512905e+003,-5.94251536255810e+002	1.10070699484389e-001,3.72181565842938e-001	-4.08107764430019e+004,-1.08831156821842e+003	1.99184817141304e+002,-1.07749985556432e+001
6.32455532033676e+004	2.09031518400974e+003,-5.40461920859571e+002	1.25474985925352e-001,4.68404124869204e-001	-4.08390133983139e+004,4.77788142673531e+002	1.98870968128988e+002,-1.20537549487921e+001
7.96214341106995e+004	2.07034591382192e+003,-5.13808948181438e+002	1.49798387879147e-001,5.87929002712162e-001	-4.07430661088881e+004,2.06551866214675e+003	1.98378165116574e+002,-1.39410996079451e+001
1.00237446725455e+005	2.04887472654442e+003,-5.12753670929328e+002	1.87948718701782e-001,7.35526839572596e-001	-4.05042207559668e+004,3.74247274324528e+003	1.97606960884124e+002,-1.65054453588309e+001
1.26191468896039e+005	2.02162298861830e+003,-5.36299526512163e+002	2.47322152794205e-001,9.15982111250137e-001	-4.00772133996786e+004,5.57160674882528e+003	1.96407822156651e+002,-1.98213188375186e+001
1.58865646944856e+005	1.98350473901567e+003,-5.83566667568353e+002	3.38713173709292e-001,1.13307537605168e+000	-3.93855900657719e+004,7.60354425908439e+003	1.94562714273348e+002,-2.39476656980099e+001
2.00000000000000e+005	1.92814334795870e+003,-6.52971876531755e+002	4.77088895346621e-001,1.38763174098425e+000	-3.83172855040272e+004,9.86186105025652e+003	1.91769439886655e+002,-2.88875473264487e+001
2.51785082358834e+005	1.84778792243247e+003,-7.40908670256157e+002	6.81498347026187e-001,1.67429858500667e+000	-3.67263988914738e+004,1.23184860403268e+004	1.87643448760325e+002,-3.45223842387475e+001
3.16978638492223e+005	1.73414700509312e+003,-8.40010514421735e+002	9.72726575611090e-001,1.97723740403894e+000	-3.44522452828381e+004,1.48605651697106e+004	1.81765173451270e+002,-4.05244418459230e+001
3.99052462993776e+005	1.58079320971545e+003,-9.37659733683288e+002	1.36697015658758e+000,2.26642712792161e+000	-3.13693096744352e+004,1.72620405102270e+004	1.73807673368985e+002,-4.62817894339120e+001
5.02377286301916e+005	1.38722304085604e+003,-1.01631061233042e+003	1.86529148586545e+000,2.49862017737882e+000	-2.74700918348463e+004,1.91915785280979e+004	1.63749482544951e+002,-5.09172790654214e+001
6.32455532033677e+005	1.16283937691136e+003,-1.05743146866120e+003	2.44330162668715e+000,2.62760534846073e+000	-2.29460599510417e+004,2.02932925525360e+004	1.52082845737446e+002,-5.34954657093532e+001
7.96214341106995e+005	9.27178317447024e+002,-1.04869574837548e+003	3.05054348560882e+000,2.62282658997639e+000	-1.81925908228716e+004,2.03328248460033e+004	1.39826163969568e+002,-5.33982631420671e+001
1.00237446725455e+006	7.04034610705580e+002,-9.90039896016677e+002	3.62561579395625e+000,2.48506353259068e+000	-1.36906262503999e+004,1.93203726417976e+004	1.28218727841766e+002,-5.06413675431955e+001
1.26191468896039e+006	5.12555603101219e+002,-8.93460317437148e+002	4.11911943747683e+000,2.24595765891110e+000	-9.82705803534370e+003,1.75071939732666e+004	1.18257563360481e+002,-4.58646916107088e+001
1.58865646944856e+006	3.61651635908441e+002,-7.76715219662629e+002	4.50805881040734e+000,1.95181381740376e+000	-6.78199880779916e+003,1.52589680015114e+004	1.10406746236027e+002,-4.00054821847994e+001
2.00000000000000e+006	2.50506453979318e+002,-6.56176229897836e+002	4.79452055481523e+000,1.64519995808770e+000	-4.53914162613500e+003,1.29118965379535e+004	1.04624055777813e+002,-3.39270701007533e+001
2.51785082358834e+006	1.72659544119607e+002,-5.43036373403959e+002	4.99514574756659e+000,1.35519079078688e+000	-2.96819403450847e+003,1.06964717139774e+004	1.00573445367781e+002,-2.82221687912510e+001
3.16978638492223e+006	1.20035948580233e+002,-4.43067227579951e+002	5.13073833238870e+000,1.09675342594839e+000	-1.90623857326017e+003,8.73281742874582e+003	9.78347500541396e+001,-2.32007860088895e+001
3.99052462993776e+006	8.53109873286814e+001,-3.58087042503939e+002	5.22016625368445e+000,8.74536819616697e-001	-1.20547671885597e+003,7.06051494033119e+003	9.60267299015701e+001,-1.89671297361139e+001
5.02377286301917e+006	6.27602440127409e+001,-2.87614350892850e+002	5.27816709112755e+000,6.87132698283452e-001	-7.50394135736781e+002,5.67213260593505e+003	9.48512724817453e+001,-1.55061600725164e+001
6.32455532033677e+006	4.82671913295307e+001,-2.30087990035514e+002	5.31532417323561e+000,5.30211948217155e-001	-4.57920421376674e+002,4.53797244770839e+003	9.40937348707414e+001,-1.27476010334068e+001
7.96214341106996e+006	3.90148701513882e+001,-1.83599153960695e+002	5.33885519662441e+000,3.98395883155202e-001	-2.71209727661243e+002,3.62094235878609e+003	9.36068042968213e+001,-1.06046094941605e+001
1.00237446725455e+007	3.31333675098895e+001,-1.46269493046181e+002	5.35351147616545e+000,2.86207179888311e-001	-1.52527960618756e+002,2.88426407413389e+003	9.32919964417334e+001,-8.99410272565674e+000
1.26191468896039e+007	2.94046374377900e+001,-1.16416524944924e+002	5.36232401405837e+000,1.88463683360005e-001	-7.72966546999264e+001,2.29487223904304e+003	9.30840410700337e+001,-7.84612447694292e+000
1.58865646944857e+007	2.70445403285847e+001,-9.26055166472386e+001	5.36714198542044e+000,1.00369568047347e-001	-2.96950694381528e+001,1.82450923928611e+003	9.29391349103396e+001,-7.10743919523618e+000
2.00000000000000e+007	2.55519471211714e+001,-7.36467713231197e+001	5.36898488593545e+000,1.74546998017086e-002	3.84132481561240e-001,1.44970786741365e+003	9.28264479512903e+001,-6.74244780553254e+000
2.51785082358834e+007	2.46079995901324e+001,-5.85701064556452e+001	5.36824428058860e+000,-6.45563650111348e-002	1.93666251970065e+001,1.15130544469008e+003	9.27218700539213e+001,-6.73309421043247e+000
3.16978638492223e+007	2.40102736223581e+001,-4.65924328806477e+001	5.36476272621863e+000,-1.49903556486018e-001	3.13231196582745e+001,9.13812173102058e+002	9.26029991422452e+001,-7.07857489262105e+000
3.99052462993777e+007	2.36302859765635e+001,-3.70857750062497e+001	5.35780196172711e+000,-2.42954617185296e-001	3.88239169413204e+001,7.24783276440822e+002	9.24444602188026e+001,-7.79514836249497e+000
5.02377286301917e+007	2.33862469946271e+001,-2.95487004892106e+001	5.34589542328611e+000,-3.48351447730913e-001	4.34841789803125e+001,5.74256155674766e+002	9.22126827667461e+001,-8.91596654557596e+000
6.32455532033677e+007	2.32256154653906e+001,-2.35820081474157e+001	5.32656366929506e+000,-4.71107009601886e-001	4.63090261092449e+001,4.54271146938884e+002	9.18592338136194e+001,-1.04904457118016e+001
7.96214341106996e+007	2.31138785074188e+001,-1.88685548657637e+001	5.29585886247029e+000,-6.16590897695006e-001	4.79097404226341e+001,3.58475437672725e+002	9.13117677743601e+001,-1.25820857921438e+001
1.00000000000000e+008	2.30280692381498e+001,-1.51905345627342e+001	5.24831903135235e+000,-7.88335547180086e-001	4.86332652448187e+001,2.82509191497084e+002	9.04725978153345e+001,-1.52317828681166e+001
